date,description,amount
2026-05-01,SWIGGY ORDER 4521,-450.00
2026-05-02,RENT PAYMENT LANDLORD,-15000.00
2026-05-03,SALARY CREDIT DELTAX,55000.00
2026-05-04,NETFLIX SUBSCRIPTION,-649.00
2026-05-05,ZOMATO ORDER 8823,-320.00
2026-05-06,UBER RIDE,-180.00
2026-05-07,AMAZON PURCHASE,-2200.00
2026-05-08,ELECTRICITY BILL BSES,-1800.00
2026-05-09,SWIGGY ORDER 4599,-510.00
2026-05-10,MUTUAL FUND SIP,-5000.00
2026-05-11,SPOTIFY SUBSCRIPTION,-119.00
2026-05-12,GROCERY BIGBASKET,-2450.00
2026-05-13,RECHARGE JIO,-399.00
2026-05-14,ZOMATO ORDER 9012,-680.00
2026-05-15,GYM MEMBERSHIP CULTFIT,-1500.00
2026-05-16,NETFLIX SUBSCRIPTION,-1299.00
2026-05-17,PETROL PUMP,-2000.00
2026-05-18,SWIGGY ORDER 4650,-390.00
2026-05-19,MOVIE TICKETS PVR,-800.00
2026-05-20,GROCERY BIGBASKET,-1900.00
2026-05-21,CREDIT CARD BILL PAYMENT,-8000.00
2026-05-22,ZOMATO ORDER 9155,-540.00
2026-05-23,AMAZON PURCHASE,-1200.00
2026-05-24,SWIGGY ORDER 4701,-460.00
2026-05-25,STOCK BROKER ZERODHA,-10000.00
2026-05-26,ELECTRICITY BILL BSES,-1750.00
2026-05-27,RECHARGE AIRTEL,-450.00
2026-05-28,GROCERY BIGBASKET,-2100.00
2026-05-29,ZOMATO ORDER 9210,-610.00
2026-05-30,FREELANCE INCOME,-0.00
